Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,source
Hubei,Mainland China,2020-02-26 14:13:10,65187.0,2615.0,20969.0,30.9756,112.2707,02-26-2020.csv
Guangdong,Mainland China,2020-02-26 10:33:02,1347.0,7.0,851.0,23.3417,113.4244,02-26-2020.csv
Henan,Mainland China,2020-02-26 10:33:02,1271.0,19.0,1033.0,33.882,113.614,02-26-2020.csv
,South Korea,2020-02-26 11:03:11,1261.0,12.0,22.0,36.0,128.0,02-26-2020.csv
Zhejiang,Mainland China,2020-02-26 10:33:02,1205.0,1.0,867.0,29.1832,120.0934,02-26-2020.csv
Hunan,Mainland China,2020-02-26 10:13:11,1016.0,4.0,783.0,27.6104,111.7088,02-26-2020.csv
Anhui,Mainland China,2020-02-26 10:13:11,989.0,6.0,744.0,31.8257,117.2264,02-26-2020.csv
Jiangxi,Mainland China,2020-02-26 01:13:04,934.0,1.0,719.0,27.614,115.7221,02-26-2020.csv
Shandong,Mainland China,2020-02-26 12:43:02,756.0,6.0,377.0,36.3427,118.1498,02-26-2020.csv
Diamond Princess cruise ship,Others,2020-02-26 19:33:02,705.0,4.0,10.0,35.4437,139.638,02-26-2020.csv
Jiangsu,Mainland China,2020-02-26 10:13:11,631.0,0.0,478.0,32.9711,119.455,02-26-2020.csv
Chongqing,Mainland China,2020-02-26 23:43:02,576.0,6.0,384.0,30.0572,107.874,02-26-2020.csv
Sichuan,Mainland China,2020-02-26 10:13:11,531.0,3.0,307.0,30.6171,102.7103,02-26-2020.csv
Heilongjiang,Mainland China,2020-02-26 10:33:02,480.0,12.0,249.0,47.862,127.7615,02-26-2020.csv
,Italy,2020-02-26 23:43:03,453.0,12.0,3.0,43.0,12.0,02-26-2020.csv
Beijing,Mainland China,2020-02-26 00:53:02,400.0,4.0,235.0,40.1824,116.4142,02-26-2020.csv
Shanghai,Mainland China,2020-02-26 23:53:01,337.0,3.0,272.0,31.202,121.4491,02-26-2020.csv
Hebei,Mainland China,2020-02-26 10:33:02,312.0,6.0,261.0,38.0428,114.5149,02-26-2020.csv
Fujian,Mainland China,2020-02-26 10:33:02,294.0,1.0,218.0,26.0789,117.9874,02-26-2020.csv
Guangxi,Mainland China,2020-02-26 14:13:10,252.0,2.0,147.0,23.8298,108.7881,02-26-2020.csv
Shaanxi,Mainland China,2020-02-26 14:13:10,245.0,1.0,192.0,35.1917,108.8701,02-26-2020.csv
,Japan,2020-02-26 23:43:03,189.0,2.0,22.0,36.0,138.0,02-26-2020.csv
Yunnan,Mainland China,2020-02-26 05:13:16,174.0,2.0,144.0,24.974,101.487,02-26-2020.csv
Hainan,Mainland China,2020-02-26 12:43:02,168.0,5.0,129.0,19.1959,109.7453,02-26-2020.csv
Guizhou,Mainland China,2020-02-25 08:03:07,146.0,2.0,104.0,26.8154,106.8748,02-26-2020.csv
,Iran,2020-02-26 23:43:03,139.0,19.0,49.0,32.0,53.0,02-26-2020.csv
Tianjin,Mainland China,2020-02-26 12:43:02,135.0,3.0,96.0,39.3054,117.323,02-26-2020.csv
Shanxi,Mainland China,2020-02-26 14:13:10,133.0,0.0,104.0,37.5777,112.2922,02-26-2020.csv
Liaoning,Mainland China,2020-02-26 00:13:05,121.0,1.0,88.0,41.2956,122.6085,02-26-2020.csv
Jilin,Mainland China,2020-02-26 14:13:10,93.0,1.0,65.0,43.6661,126.1923,02-26-2020.csv
,Singapore,2020-02-26 19:33:02,93.0,0.0,62.0,1.2833,103.8333,02-26-2020.csv
Hong Kong,Hong Kong,2020-02-26 23:43:02,91.0,2.0,24.0,22.3,114.2,02-26-2020.csv
Gansu,Mainland China,2020-02-26 14:13:10,91.0,2.0,81.0,36.0611,103.8343,02-26-2020.csv
Xinjiang,Mainland China,2020-02-26 14:23:03,76.0,2.0,34.0,41.1129,85.2401,02-26-2020.csv
Inner Mongolia,Mainland China,2020-02-26 15:03:05,75.0,0.0,38.0,44.0935,113.9448,02-26-2020.csv
Ningxia,Mainland China,2020-02-26 03:53:01,71.0,0.0,65.0,37.2692,106.1655,02-26-2020.csv
Unassigned Location (From Diamond Princess),US,2020-02-26 20:03:06,42.0,0.0,0.0,35.4437,139.638,02-26-2020.csv
,Thailand,2020-02-26 07:23:03,40.0,0.0,22.0,15.87,100.9925,02-26-2020.csv
,Bahrain,2020-02-26 21:03:07,33.0,0.0,0.0,26.0275,50.55,02-26-2020.csv
Taiwan,Taiwan,2020-02-26 12:23:04,32.0,1.0,5.0,23.7,121.0,02-26-2020.csv
,Germany,2020-02-26 23:43:03,27.0,0.0,15.0,51.0,9.0,02-26-2020.csv
